arrondissement,annee,prix_m2_median,nb_ventes,revenu_median,ratio_prix_revenu
1,2020,15000.0,652,29000.0,0.5172413793103449
1,2021,13934.615384615385,15,,
1,2022,15000.0,541,,
1,2023,13530.687830687832,108,,
1,2024,13333.333333333334,311,,
1,2025,12628.493081488696,208,,
2,2020,13458.710407239818,1332,32000.0,0.42058470022624433
2,2021,10363.636363636364,33,,
2,2022,12677.05317982456,734,,
2,2023,13236.363636363636,145,,
2,2024,14531.387520525452,446,,
2,2025,12519.833333333332,334,,
3,2020,13378.676470588234,1044,31000.0,0.4315702087286527
3,2021,11237.808376362596,36,,
3,2022,12940.74074074074,949,,
3,2023,12814.393617021276,242,,
3,2024,12291.666666666666,545,,
3,2025,12000.0,381,,
4,2020,14364.242424242424,1145,30000.0,0.4788080808080808
4,2021,14183.890746934228,24,,
4,2022,14201.263157894737,754,,
4,2023,15352.990033222592,196,,
4,2024,12952.380952380952,419,,
4,2025,12686.567164179103,315,,
5,2020,12836.309523809525,1104,35000.0,0.36675170068027213
5,2021,12307.692307692309,11,,
5,2022,13073.076923076924,1755,,
5,2023,12724.0,694,,
5,2024,12250.0,2507,,
5,2025,11538.46153846154,234,,
6,2020,18362.678787878787,1290,42000.0,0.43720663780663777
6,2021,16046.380090497738,2,,
6,2022,15625.0,1709,,
6,2023,17232.558139534885,651,,
6,2024,15474.166666666668,2576,,
6,2025,14946.42857142857,223,,
7,2020,15517.472527472528,1212,45000.0,0.3448327228327228
7,2021,21836.73469387755,5,,
7,2022,15333.333333333334,1918,,
7,2023,14888.863287250384,652,,
7,2024,15000.0,2794,,
7,2025,14375.833333333332,268,,
8,2020,15555.555555555557,1446,47000.0,0.33096926713947994
8,2021,15449.922857142858,43,,
8,2022,16817.999196464443,1512,,
8,2023,20000.0,341,,
8,2024,16681.818181818184,952,,
8,2025,13098.0783045977,540,,
9,2020,12863.636363636364,2646,34000.0,0.3783422459893048
9,2021,11552.5,45,,
9,2022,12322.108013937284,1770,,
9,2023,10909.09090909091,281,,
9,2024,11309.52380952381,913,,
9,2025,12511.627906976744,829,,
10,2020,11585.642857142857,3700,28000.0,0.41377295918367346
