arrondissement,annee,score_delinquance
1,2020,3.4
1,2021,3.8
1,2022,4.3
1,2023,4.2
1,2024,4.5
2,2020,2.1
2,2021,2.2
2,2022,2.3
2,2023,2.1
2,2024,2.0
3,2020,2.1
3,2021,2.3
3,2022,2.2
3,2023,2.0
3,2024,1.9
4,2020,2.6
4,2021,2.7
4,2022,2.5
4,2023,2.2
4,2024,2.2
5,2020,2.6
5,2021,2.5
5,2022,2.6
5,2023,2.3
5,2024,2.2
6,2020,2.3
6,2021,2.6
6,2022,2.4
6,2023,2.1
6,2024,2.0
7,2020,2.4
7,2021,2.9
7,2022,2.8
7,2023,2.6
7,2024,2.6
8,2020,4.7
8,2021,5.1
8,2022,5.7
8,2023,5.7
8,2024,6.4
9,2020,4.4
9,2021,4.2
9,2022,5.0
9,2023,5.0
9,2024,5.4
10,2020,6.4
10,2021,6.6
10,2022,6.9
10,2023,7.8
10,2024,8.4
11,2020,5.9
11,2021,5.8
11,2022,5.7
11,2023,5.2
11,2024,5.1
12,2020,6.3
12,2021,7.1
12,2022,7.3
12,2023,7.1
12,2024,7.7
13,2020,5.9
13,2021,7.0
13,2022,6.7
13,2023,6.3
13,2024,6.7
14,2020,4.4
14,2021,4.9
14,2022,4.6
14,2023,4.4
14,2024,4.3
15,2020,6.0
15,2021,8.2
15,2022,7.3
15,2023,7.2
15,2024,7.5
16,2020,5.8
16,2021,6.6
16,2022,6.6
16,2023,6.0
16,2024,5.8
17,2020,5.5
17,2021,5.8
17,2022,5.5
17,2023,5.5
17,2024,5.5
18,2020,10.0
18,2021,10.0
18,2022,10.0
18,2023,10.0
18,2024,10.0
19,2020,7.5
19,2021,8.2
19,2022,7.8
19,2023,7.7
19,2024,7.6
20,2020,5.2
20,2021,5.6
20,2022,4.9
20,2023,4.8
20,2024,4.6
