arrondissement,population,superficie_km2,densite_hab_km2
1,15600,1.83,8524.590163934427
2,22000,0.99,22222.222222222223
3,35200,1.17,30085.470085470086
4,28700,1.6,17937.5
5,61400,2.54,24173.228346456694
6,43500,2.15,20232.558139534885
7,56800,4.09,13887.530562347189
8,39700,3.88,10231.958762886597
9,60200,2.18,27614.678899082566
10,92700,2.84,32640.845070422536
11,154000,3.67,41961.852861035426
12,143000,6.37,22448.979591836734
13,193000,7.15,26993.00699300699
14,130000,5.62,23131.672597864766
15,236000,8.49,27797.40871613663
16,165000,7.85,21019.10828025478
17,164000,5.67,28924.16225749559
18,201000,6.01,33444.259567387686
19,187000,6.79,27540.500736377024
20,165000,5.98,27591.973244147157
