arrondissement,superficie_totale_m2,insee_pop,m2_par_habitant,annee
1,49139.0,15475,3.2,2024
2,2732.0,20433,0.1,2024
3,15296.0,32772,0.5,2024
4,57252.0,28039,2.0,2024
5,22630.0,55925,0.4,2024
6,26458.0,40432,0.7,2024
7,95556.0,48196,2.0,2024
8,120294.0,35418,3.4,2024
9,2237.0,58419,0.0,2024
10,38000.0,81926,0.5,2024
11,20003.0,139983,0.1,2024
12,10152875.0,139788,72.6,2024
13,40174.0,177735,0.2,2024
14,273041.0,137581,2.0,2024
15,264443.0,228754,1.2,2024
16,446992.0,159733,2.8,2024
17,264729.0,161206,1.6,2024
18,249222.0,185825,1.3,2024
19,96712.0,178371,0.5,2024
20,133151.0,187694,0.7,2024
