arrondissement,annee,nb_programmes
1,2005,1
1,2007,2
1,2008,9
1,2010,3
1,2011,3
1,2012,2
1,2013,2
1,2014,2
1,2016,2
1,2018,2
1,2022,1
1,2023,1
2,2002,1
2,2004,4
2,2005,1
2,2006,3
2,2007,1
2,2008,1
2,2009,1
2,2010,2
2,2011,2
2,2012,1
2,2014,2
2,2016,1
2,2017,1
2,2018,1
2,2021,1
2,2023,1
2,2024,1
3,2001,1
3,2002,2
3,2003,1
3,2004,2
3,2005,2
3,2006,1
3,2007,4
3,2008,5
3,2009,2
3,2010,1
3,2012,2
3,2013,3
3,2014,2
3,2015,1
3,2016,4
3,2017,1
3,2018,1
3,2019,1
3,2021,3
3,2022,3
3,2023,3
3,2024,1
4,2003,1
4,2004,2
4,2006,3
4,2007,2
4,2008,9
4,2009,3
4,2010,1
4,2011,6
4,2012,4
4,2014,2
4,2015,5
4,2016,1
4,2017,6
4,2018,1
4,2019,1
4,2021,1
4,2022,1
4,2023,2
5,2002,2
5,2003,4
5,2006,2
5,2008,2
5,2009,2
5,2010,3
5,2011,3
5,2012,3
5,2013,2
5,2014,3
5,2015,1
5,2016,1
5,2017,1
5,2018,2
5,2021,1
5,2022,2
5,2024,3
6,2007,1
6,2009,2
6,2010,1
6,2011,1
6,2012,1
6,2014,1
6,2015,1
6,2016,1
6,2017,9
6,2018,2
6,2023,1
6,2024,1
7,2002,1
7,2004,2
7,2005,3
7,2007,2
7,2012,1
7,2016,1
7,2017,2
7,2024,1
8,2001,2
8,2004,1
8,2005,1
8,2007,3
8,2010,2
8,2011,1
8,2012,1
8,2013,2
8,2014,1
8,2015,1
8,2016,1
8,2018,1
8,2021,1
8,2023,1
9,2001,2
9,2002,5
9,2003,2
9,2004,2
9,2005,1
9,2006,3
9,2007,4
9,2008,2
9,2009,3
9,2010,4
9,2011,1
9,2012,5
9,2013,2
9,2014,3
9,2015,1
9,2016,4
9,2017,1
9,2018,2
9,2019,1
9,2020,4
9,2021,1
9,2023,1
9,2024,1
10,2001,2
10,2002,2
10,2004,5
10,2005,7
10,2006,3
10,2007,9
10,2008,9
10,2009,3
10,2010,10
10,2012,7
10,2013,4
10,2014,5
10,2015,19
10,2016,2
10,2017,6
10,2018,3
10,2019,4
10,2020,4
10,2021,1
10,2022,2
10,2023,4
10,2024,3
11,2001,2
11,2002,5
11,2003,6
11,2004,11
11,2005,9
11,2006,9
11,2007,14
11,2008,6
11,2009,5
11,2010,8
11,2011,6
11,2012,9
11,2013,3
11,2014,4
11,2015,9
11,2016,8
11,2017,5
11,2018,11
11,2019,6
11,2020,4
11,2021,6
11,2022,4
11,2023,4
11,2024,2
12,2001,5
12,2002,2
12,2003,3
12,2004,4
12,2005,6
12,2006,6
12,2007,6
12,2008,7
12,2009,3
12,2010,8
12,2011,6
12,2012,3
12,2013,5
12,2014,6
12,2015,2
12,2016,9
12,2017,5
12,2018,5
12,2019,3
12,2020,1
12,2021,6
12,2022,4
12,2023,4
12,2024,3
13,2001,2
13,2002,3
13,2003,2
13,2004,5
13,2005,2
13,2006,9
13,2007,7
13,2008,13
13,2009,10
13,2010,5
13,2011,10
13,2012,10
13,2013,8
13,2014,5
13,2015,8
13,2016,6
13,2017,6
13,2018,9
13,2019,11
13,2020,10
13,2021,7
13,2022,5
13,2023,6
13,2024,6
14,2001,1
14,2002,4
14,2003,3
14,2004,4
14,2005,2
14,2006,2
14,2007,6
14,2008,4
14,2009,6
14,2010,5
14,2011,2
14,2012,6
14,2013,4
14,2014,4
14,2015,10
14,2016,4
14,2017,5
14,2018,4
14,2019,7
14,2020,6
14,2021,4
14,2022,2
14,2023,5
14,2024,1
15,2001,6
15,2002,5
15,2003,5
15,2004,4
15,2005,7
15,2006,4
15,2007,13
15,2008,8
15,2009,16
15,2010,11
15,2011,11
15,2012,11
15,2013,9
15,2014,6
15,2015,13
15,2016,8
15,2017,16
15,2018,7
15,2019,8
15,2020,4
15,2021,6
15,2022,6
15,2023,5
15,2024,5
16,2002,4
16,2003,2
16,2004,2
16,2007,6
16,2008,4
16,2009,5
16,2010,5
16,2011,5
16,2012,4
