arrondissement,no2_moyen,o3_moyen,pm10_moyen,annee
1,34.6,37.0,31.4,2018
2,35.2,37.4,32.0,2018
3,35.1,37.4,31.8,2018
4,35.3,37.5,31.8,2018
5,34.5,37.5,31.6,2018
6,34.1,37.4,31.4,2018
7,34.9,37.3,31.6,2018
8,36.0,37.4,32.0,2018
9,35.2,37.6,31.6,2018
10,36.1,38.1,32.3,2018
11,36.1,38.0,32.1,2018
12,36.3,38.5,32.0,2018
13,34.9,38.3,31.9,2018
14,33.5,38.1,31.4,2018
15,33.1,37.9,31.2,2018
16,36.3,37.7,32.2,2018
17,37.2,38.1,32.4,2018
18,36.7,38.7,32.2,2018
19,37.4,38.7,32.4,2018
20,36.1,38.3,31.8,2018
