arrondissement,annee,type_local,nombre_pieces_principales,count
1,2020,Appartement,1.0,158
1,2020,Appartement,2.0,122
1,2020,Appartement,3.0,70
1,2020,Appartement,4.0,44
1,2020,Appartement,5.0,18
1,2020,Appartement,6.0,22
1,2020,Appartement,7.0,8
1,2021,Appartement,1.0,5
1,2021,Appartement,2.0,4
1,2021,Appartement,3.0,3
1,2021,Appartement,4.0,1
1,2022,Appartement,0.0,2
1,2022,Appartement,1.0,122
1,2022,Appartement,2.0,141
1,2022,Appartement,3.0,75
1,2022,Appartement,4.0,44
1,2022,Appartement,5.0,20
1,2022,Appartement,6.0,6
1,2022,Appartement,7.0,4
1,2022,Appartement,8.0,2
1,2023,Appartement,1.0,22
1,2023,Appartement,2.0,35
1,2023,Appartement,3.0,19
1,2023,Appartement,4.0,6
1,2023,Appartement,5.0,2
1,2023,Appartement,7.0,1
1,2024,Appartement,1.0,50
1,2024,Appartement,2.0,68
1,2024,Appartement,3.0,42
1,2024,Appartement,4.0,19
1,2024,Appartement,5.0,11
1,2024,Appartement,6.0,7
1,2024,Appartement,7.0,1
1,2024,Appartement,9.0,1
1,2025,Appartement,1.0,49
1,2025,Appartement,2.0,36
1,2025,Appartement,3.0,27
1,2025,Appartement,4.0,20
1,2025,Appartement,5.0,9
1,2025,Appartement,6.0,2
1,2025,Appartement,7.0,1
2,2020,Appartement,1.0,389
2,2020,Appartement,2.0,283
2,2020,Appartement,3.0,131
2,2020,Appartement,4.0,54
2,2020,Appartement,5.0,20
2,2020,Appartement,6.0,6
2,2020,Appartement,8.0,6
2,2021,Appartement,1.0,16
2,2021,Appartement,2.0,6
2,2021,Appartement,3.0,2
2,2021,Appartement,4.0,2
2,2022,Appartement,1.0,213
2,2022,Appartement,2.0,192
2,2022,Appartement,3.0,102
2,2022,Appartement,4.0,44
2,2022,Appartement,5.0,11
2,2022,Appartement,6.0,1
2,2022,Appartement,7.0,1
2,2023,Appartement,1.0,35
2,2023,Appartement,2.0,25
2,2023,Appartement,3.0,15
2,2023,Appartement,4.0,4
2,2023,Appartement,5.0,2
2,2023,Appartement,6.0,1
2,2024,Appartement,0.0,1
2,2024,Appartement,1.0,122
2,2024,Appartement,2.0,98
2,2024,Appartement,3.0,41
2,2024,Appartement,4.0,22
2,2024,Appartement,5.0,5
2,2024,Appartement,7.0,3
2,2025,Appartement,1.0,90
2,2025,Appartement,2.0,82
2,2025,Appartement,3.0,42
2,2025,Appartement,4.0,8
2,2025,Appartement,5.0,6
3,2020,Appartement,1.0,288
3,2020,Appartement,2.0,290
3,2020,Appartement,3.0,178
3,2020,Appartement,4.0,70
