arrondissement,annee,taux_vacance
1,2020,9.2
2,2020,10.4
3,2020,12.5
4,2020,10.2
5,2020,7.8
6,2020,9.1
7,2020,11.7
8,2020,14.0
9,2020,12.1
10,2020,9.9
11,2020,8.4
12,2020,7.2
13,2020,6.5
14,2020,7.0
15,2020,6.1
16,2020,15.5
17,2020,8.9
18,2020,7.7
19,2020,6.8
20,2020,7.3
1,2021,9.3
2,2021,10.5
3,2021,12.6
4,2021,10.3
5,2021,7.9
6,2021,9.2
7,2021,11.8
8,2021,14.1
9,2021,12.2
10,2021,10.0
11,2021,8.5
12,2021,7.3
13,2021,6.6
14,2021,7.1
15,2021,6.2
16,2021,15.6
17,2021,9.0
18,2021,7.8
19,2021,6.9
20,2021,7.4
1,2022,9.4
2,2022,10.6
3,2022,12.7
4,2022,10.4
5,2022,8.0
6,2022,9.3
7,2022,11.9
8,2022,14.2
9,2022,12.3
10,2022,10.1
11,2022,8.6
12,2022,7.4
13,2022,6.7
14,2022,7.2
15,2022,6.3
16,2022,15.7
17,2022,9.1
18,2022,7.9
19,2022,7.0
20,2022,7.5
1,2023,9.5
2,2023,10.7
3,2023,12.8
4,2023,10.5
5,2023,8.1
6,2023,9.4
7,2023,12.0
8,2023,14.3
9,2023,12.4
10,2023,10.2
11,2023,8.7
12,2023,7.5
13,2023,6.8
14,2023,7.3
15,2023,6.4
16,2023,15.8
17,2023,9.2
18,2023,8.0
19,2023,7.1
20,2023,7.6
1,2024,9.6
2,2024,10.8
3,2024,12.9
4,2024,10.6
5,2024,8.2
6,2024,9.5
7,2024,12.1
8,2024,14.4
9,2024,12.5
10,2024,10.3
11,2024,8.8
12,2024,7.6
13,2024,6.9
14,2024,7.4
15,2024,6.5
16,2024,15.9
17,2024,9.3
18,2024,8.1
19,2024,7.2
20,2024,7.7
