arrondissement,superficie_m2
5,8.0
11,83.0
4,4769.0
14,100.0
8,107.0
20,200.0
10,1.0
12,2479.0
20,202.0
5,118.0
10,25.0
18,461.0
15,177.0
13,1461.0
7,852.0
12,127620.0
18,8.0
11,220.0
20,731.0
12,11886.0
13,3200.0
8,1096.0
8,6489.0
18,357.0
14,177.0
18,30.0
12,80447.0
11,6.0
19,650.0
18,458.0
17,10355.0
17,475.0
12,525.0
13,206.0
12,77.0
3,2100.0
18,160.0
17,80.0
4,3.0
10,51.0
10,5.0
20,1293.0
14,4750.0
6,275.0
14,124.0
8,4786.0
5,550.0
18,8350.0
8,20390.0
18,213.0
12,5.0
17,247.0
17,167.0
15,5.0
17,1078.0
12,226.0
10,2.0
4,4.0
14,674.0
4,92.0
4,30.0
4,195.0
17,210.0
7,1840.0
7,300.0
6,500.0
14,1837.0
19,1050.0
16,1751.0
11,6.0
11,35.0
13,155.0
15,1377.0
14,485.0
19,21.0
13,40.0
17,754.0
13,100.0
16,3559.0
18,1407.0
4,2982.0
9,66.0
7,3826.0
6,290.0
16,70.0
6,11.0
6,30.0
20,125.0
16,2732.0
17,30.0
20,3925.0
4,12706.0
6,32.0
10,37.0
14,34.0
11,740.0
4,224.0
16,227125.0
20,6030.0
13,105.0
13,252.0
18,366.0
1,511.0
19,578.0
16,1670.0
3,2.0
1,1642.0
15,734.0
14,87.0
19,440.0
10,164.0
14,68.0
18,59.0
13,7916.0
8,76.0
19,22.0
20,50.0
19,120.0
19,400.0
7,30.0
7,13.0
6,34.0
14,843.0
14,715.0
10,302.0
15,150.0
17,20.0
20,550.0
16,30.0
18,150.0
3,236.0
13,160.0
20,2.0
13,368.0
16,2182.0
4,969.0
15,363.0
7,92.0
18,875.0
5,45.0
11,6337.0
13,3.0
12,300.0
20,8322.0
14,1000.0
4,10.0
18,456.0
17,1411.0
13,407.0
12,300.0
12,364.0
2,10.0
10,238.0
4,1.0
12,830.0
7,7202.0
14,2400.0
11,63.0
13,1.0
11,1581.0
10,485.0
17,99.0
13,1890.0
17,98.0
18,56.0
14,3820.0
13,34.0
13,187.0
13,434.0
8,261.0
12,1165.0
19,11800.0
7,138.0
11,181.0
12,742.0
7,44.0
11,48.0
4,1100.0
8,18388.0
17,245.0
18,42140.0
17,84.0
20,145.0
2,1925.0
3,75.0
18,13440.0
17,250.0
10,66.0
5,332.0
10,205.0
13,345.0
4,46.0
18,180.0
19,754.0
2,65.0
12,10454.0
17,3686.0
10,2.0
17,10420.0
19,64.0
16,130.0
4,20.0
3,3707.0
15,24.0
10,85.0
1,34.0
10,170.0
14,110.0
18,41.0
4,180.0
4,72.0
17,42.0
17,20.0
9,234.0
14,1812.0
18,10165.0
11,350.0
11,4745.0
19,796.0
6,140.0
13,450.0
18,391.0
17,880.0
14,4790.0
13,61.0
20,200.0
13,627.0
11,44.0
4,6.0
16,37600.0
19,325.0
20,160.0
5,178.0
4,620.0
17,53.0
17,274.0
20,11925.0
10,2200.0
17,200.0
17,1612.0
13,137.0
17,14000.0
3,1110.0
3,1337.0
3,3.0
18,2110.0
19,13150.0
10,369.0
10,45.0
10,87.0
13,233.0
14,160.0
9,35.0
7,4472.0
6,300.0
6,93.0
2,30.0
17,207.0
20,81.0
17,633.0
5,16150.0
14,375.0
15,89.0
11,5.0
20,16253.0
12,346.0
5,132.0
11,66.0
18,40.0
13,937.0
19,71.0
13,3800.0
14,187200.0
20,3.0
18,740.0
14,537.0
13,181.0
20,12.0
12,1500.0
14,2300.0
18,600.0
19,605.0
18,75.0
17,1280.0
12,1740.0
15,709.0
16,4021.0
9,72.0
20,1344.0
15,860.0
16,6040.0
14,66.0
17,1062.0
13,125.0
18,130.0
19,1210.0
20,12874.0
15,88.0
8,8065.0
7,157.0
17,150.0
2,48.0
18,126.0
10,952.0
19,82.0
4,1140.0
11,16.0
7,172.0
7,484.0
14,1784.0
14,350.0
9,157.0
10,90.0
11,1230.0
18,400.0
16,3.0
17,2464.0
12,10.0
12,315.0
15,1740.0
10,1020.0
16,353.0
20,595.0
12,459.0
18,27.0
7,20756.0
10,21480.0
20,194.0
10,1000.0
7,10.0
20,1800.0
8,17392.0
12,214.0
20,7716.0
17,2400.0
17,300.0
17,5918.0
16,4377.0
15,5415.0
3,4069.0
18,271.0
18,14.0
10,93.0
15,20.0
10,34.0
17,2300.0
4,4.0
4,1600.0
14,455.0
17,762.0
14,2535.0
14,2461.0
19,320.0
20,130.0
11,170.0
6,106.0
12,449.0
14,607.0
15,9550.0
18,22.0
20,14030.0
13,310.0
13,200.0
17,16615.0
18,700.0
12,893.0
17,199.0
12,180.0
12,1256.0
7,1041.0
8,100.0
5,5.0
5,14.0
20,1000.0
18,105.0
7,2300.0
17,1413.0
13,524.0
1,170.0
1,140.0
10,320.0
11,54.0
16,60500.0
10,250.0
4,722.0
5,1000.0
12,8800.0
20,140.0
16,1400.0
16,242.0
5,52.0
12,82086.0
19,120.0
12,1839.0
10,3.0
17,760.0
17,680.0
16,125.0
6,23.0
19,220.0
13,64.0
17,101000.0
17,150.0
1,2635.0
3,28.0
1,40.0
10,78.0
18,104800.0
10,181.0
10,4.0
19,97.0
14,575.0
14,975.0
17,46.0
4,2975.0
4,652.0
13,2150.0
9,540.0
19,1354.0
15,1300.0
20,170.0
3,136.0
19,1411.0
10,7.0
20,155.0
17,475.0
4,45.0
19,160.0
19,20.0
2,2.0
16,300.0
12,420.0
20,1275.0
13,39.0
18,1105.0
19,33.0
14,1342.0
13,193.0
14,3444.0
11,151.0
8,5354.0
17,130.0
19,102.0
14,120.0
2,35.0
15,4418.0
10,57.0
1,663.0
10,50.0
10,27.0
12,182.0
19,178.0
4,38.0
5,95.0
12,10409.0
20,1930.0
11,59.0
16,717.0
6,380.0
