arrondissement,no2,o3,pm10,annee
1,30,33,22,2018
2,32,33,22,2018
3,32,33,22,2018
4,31,33,22,2018
5,30,33,22,2018
6,30,33,22,2018
7,30,33,22,2018
8,30,33,22,2018
9,31,33,22,2018
10,34,33,22,2018
11,34,33,22,2018
12,33,33,24,2018
13,30,33,22,2018
14,29,34,22,2018
15,29,35,22,2018
16,29,35,20,2018
17,30,33,22,2018
18,35,34,22,2018
19,39,33,22,2018
20,36,33,22,2018
1,31,28,19,2018
2,32,28,19,2018
3,31,29,19,2018
4,31,29,19,2018
5,30,29,19,2018
6,30,29,19,2018
7,31,29,19,2018
8,32,28,19,2018
9,32,28,19,2018
10,32,29,19,2018
11,29,30,19,2018
12,29,31,19,2018
13,29,30,20,2018
14,29,30,19,2018
15,28,30,19,2018
16,31,30,19,2018
17,32,28,19,2018
18,32,29,19,2018
19,29,30,19,2018
20,28,30,19,2018
1,30,26,19,2018
2,30,27,19,2018
3,31,27,19,2018
4,31,27,19,2018
5,30,27,19,2018
6,30,27,19,2018
7,30,26,19,2018
8,32,26,19,2018
9,30,27,19,2018
10,31,28,19,2018
11,31,28,19,2018
12,31,28,19,2018
13,31,28,19,2018
14,29,28,19,2018
15,28,28,19,2018
16,35,27,19,2018
17,33,28,19,2018
18,32,29,19,2018
19,35,29,19,2018
20,31,28,19,2018
1,39,38,14,2018
2,39,38,14,2018
3,39,38,12,2018
4,39,38,14,2018
5,39,38,14,2018
6,39,38,14,2018
7,39,38,15,2018
8,39,38,14,2018
9,38,38,14,2018
10,39,39,12,2018
11,39,39,12,2018
12,39,39,14,2018
13,39,38,15,2018
14,38,38,15,2018
15,37,38,15,2018
16,40,38,15,2018
17,39,39,14,2018
18,38,40,14,2018
19,38,40,12,2018
20,38,39,12,2018
1,33,34,20,2018
2,33,35,20,2018
3,33,35,20,2018
4,33,35,20,2018
5,32,34,22,2018
6,32,34,20,2018
7,34,34,20,2018
8,35,34,20,2018
9,34,35,20,2018
10,34,35,20,2018
11,35,35,20,2018
12,38,35,20,2018
13,35,34,22,2018
14,33,34,22,2018
15,34,34,20,2018
16,35,34,20,2018
17,36,35,20,2018
18,35,35,20,2018
19,35,35,20,2018
20,36,35,20,2018
1,36,33,30,2018
2,38,34,30,2018
3,37,34,30,2018
4,36,35,30,2018
5,34,35,30,2018
6,33,34,30,2018
7,35,33,30,2018
8,42,33,30,2018
9,41,33,29,2018
10,41,35,29,2018
11,38,36,29,2018
12,38,38,29,2018
13,34,36,29,2018
14,31,35,29,2018
15,34,33,29,2018
16,45,32,30,2018
17,47,33,30,2018
18,45,35,27,2018
19,40,36,29,2018
20,38,36,29,2018
1,35,35,29,2018
2,34,36,29,2018
3,35,36,29,2018
4,35,36,29,2018
5,33,36,29,2018
6,33,36,29,2018
7,38,35,29,2018
8,36,35,29,2018
9,33,36,29,2018
10,34,37,29,2018
11,37,37,29,2018
12,42,39,29,2018
13,33,37,29,2018
14,31,36,29,2018
15,35,36,27,2018
16,37,35,27,2018
17,36,36,27,2018
18,31,38,29,2018
19,33,38,27,2018
20,38,38,27,2018
1,22,43,30,2018
2,22,43,32,2018
3,21,43,32,2018
4,22,43,32,2018
5,21,43,30,2018
6,21,43,30,2018
7,22,43,30,2018
8,24,43,32,2018
9,23,44,32,2018
10,23,45,34,2018
11,21,44,32,2018
12,20,45,32,2018
13,20,45,32,2018
14,20,44,30,2018
15,20,43,30,2018
16,25,43,30,2018
17,25,44,34,2018
18,23,46,34,2018
19,22,46,34,2018
